Название,Место,Описание,Теги
Эйнштейн и Маргарита,в 2 местах,"Спектакль Александра Марина «Эйнштейн и Маргарита» по пьесе Александра Гельмана «Альмар» — великая история любви. На сцене только он и она: гениальный ученый Альберт Эйнштейн — мастер и его муза — Маргарита Коненкова, жена известного советского скульптора.

За окном 1945 год. Сброшена атомная бомба на Хиросиму. Эйнштейн в своей квартире, но ни времени ни пространства не ощущает, он раздавлен и уничтожен новостями. Приезда Маргариты великий физик ждет, как спасительного глотка воздуха. Она приезжает. Но не затем, чтобы поддержать и утешить, а затем, чтобы навсегда уйти. Их отношения длятся уже десять лет, но никогда Альберт и Маргарита не были так откровенны друг с другом, как в эту ночь, когда необходимость попрощаться навсегда заставила произнести вслух то, что за долгие годы никто из них не осмеливался...

Ксения Раппопорт и Алексей Серебряков не раз работали вместе в кино, но на театральной сцене они впервые встретились в 2022 году. Уже несколько лет история любви двух грандиозных личностей в исполнении двух больших актеров не отпускает зрителя и завоевывает новые города и театральные площадки по всему миру.","['Спектакль', 'Драма']"
Стендап-экскурсии по Москве,в 2 местах,"Стендап-экскурсия — это что-то по-настоящему новое и необычное! Пешая экскурсия по городу, которую ведёт стендап-комик. Будет интересно и смешно! И максимально непринуждённо!

Мы открыли новую страницу познавательных развлечений! Будь среди первых, кто это увидит!

Ты узнаешь интересные исторические факты, посетишь московские достопримечательности, которые раньше не видел или не придавал им значения! И всё это в сопровождении комика-экскурсовода! По сути, ты увидишь исторический стендап-концерт и сам примешь в нём участие.

В зимний период обязательно одевайтесь теплее!
При температуре ниже −12 градусов сеанс экскурсии отменяется!
(вы можете перенести билеты на другой удобный для вас день или получить возврат)
При очень плохой погоде информация об отмене появляется за час до мероприятия, вам сообщат об отмене на почту, смс или звонком.

Экскурсия будет проходить с системой радиогидов. У каждого участника будет специальный наушник, чтобы не пропустить ни один факт и ни одну шутку!

Продолжительность — 1,5 часа
Режим работы по обращениям и уточнению информации с 11:00 до 20:00. Телефон администратора: +7 (916) 148-56-64 и наш телеграм @standupwalk

Если гости находятся в сильном алкогольном опьянении, мы оставляем за собой право не допустить их на сеанс экскурсии.

Внимание! Может присутствовать мат. Это всего 3 слова за экскурсию, но они важны.

А теперь чуть подробнее...

Экскурсия по Китай-городу

В основе любой шутки лежит парадокс: совмещение несовместимого, неожиданный поворот событий, внезапное и контрастное. История дарит нам множество парадоксов, иногда незаметных с первого взгляда. Китай-город — один из старейших районов Москвы и при этом самый молодёжный: здесь древние церковки и купеческие особняки соседствуют с крафтовыми барами и последними чудесами урбанистики. А само называние? «Китай»! Мы в столице России так-то.
А ещё мы расскажем тебе о крутых секретных барах, о которых мало кто знает, но которые точно стоит посетить.
Самые необычные факты в непринуждённой юмористической подаче от комика-экскурсовода. От основателей славянской письменности до б***ских тарелок!

Место встречи: м. Китай-город, выход ном. 10, у памятника Кириллу и Мефодию. Гид с табличкой «Стендап-экскурсия».

Экскурсия по Чистым прудам

Новый маршрут стендап-экскурсии — Мясницкая улица и окрестности! Здесь всё самое! Мы найдём, где спрятано самое высокое сооружение Москвы 18-го века, посетим самый старый чайный магазин города, полюбуемся видами самого некрасивого здания столицы! И всё это в сопровождении комика-экскурсовода. Тоже самого-самого!

Место встречи: м. Чистые пруды, выход ном. 1, у памятника А. С. Грибоедова. Гид с табличкой «Стендап-экскурсия».","['Экскурсия', 'Стендап', 'На воздухе', 'Юмор', 'История', 'Пешеходные', 'Ненормативная лексика']"
Music Loto,в 2 местах,"Music Loto — лотерея для тех, кто любит веселиться и петь от души! Готов к невероятным приключениям с крутыми призами, массовым караоке и яркими шутками от популярных стендап-комиков, которые будут вести мероприятие? Тогда добро пожаловать в музыкальную лотерею Music Loto! Забудь о скучных лотереях — здесь тебя ждут море смеха, веселые конкурсы и настоящий музыкальный праздник!

Почему Music Loto?
• Весёлые призы! Забудь про деньги — у нас ты выиграешь кучу весёлых подарков, которые точно поднимут тебе настроение!
• Караоке-пати — приходи, пой с друзьями, участвуй в розыгрышах и просто наслаждайся атмосферой веселья!
• Стендап-комики в роли ведущих — лучшие шутки и харизма твоих любимых артистов создадут настроение на весь вечер!
• Масса позитива! У нас выигрывать весело, а призы — это настоящий заряд радости и смеха!

Как это работает? Всё предельно просто:
1. Выбери свой билет — да, он может быть счастливым!
2. Купи его онлайн — всего за пару минут ты уже в игре!
3. Жди своего шанса на победу — и готовься к невероятному веселью с ведущими-комиками!

Что ты можешь выиграть?
• Участие в массовом караоке с толпой таких же музыкальных фанатов!
• Смешные и весёлые сувениры, которые точно вызовут улыбку!
• И самое главное — море позитива, шуток и новых впечатлений!

Не пропусти веселье! У нас каждый билет — это не просто шанс на приз, а возможность повеселиться и стать частью самого классного музыкального события года! Чем больше билетов — тем громче будет караоке и тем больше призов! Покупай билет и присоединяйся к музыкальному безумию! Побеждать и веселиться с Music Loto — это просто! А ведущие-комики сделают твоё участие ещё ярче и веселее!

Твой счастливый билет к веселью уже ждёт!","['Вечеринка', 'Стендап', 'Шоу', 'Караоке']"
Принцесса цирка,Театр мюзикла,"Мистер Икс — загадочный артист цирка, которого никто не видел без маски, — будоражит сердца и вызывает волну слухов в парижском обществе. Красавица Теодора — молодая богатая вдова, к ногам которой готов упасть весь высший свет. Может ли что-то связывать этих двух персонажей? Одного лишь циркового таланта недостаточно, чтобы завоевать сердце блистательной светской дамы. Да и нужна ли её любовь тому, кто избрал одиночество и решил навсегда скрыть лицо под маской?

В состав исполнителей могут быть внесены изменения без дополнительного уведомления.",['Мюзикл']
8 любящих женщин,Театр им. Моссовета,"Пьеса «8 любящих женщин», отметившая в 2021 года шестидесятилетие со дня первой постановки, состоявшейся 28 августа 1961 года в самом сердце Парижа в театре «Эдуард VII», не сходит со сцен мира по сей день. Детективная история о том, как дамы трех поколений одной семьи и их домочадцы ведут самостоятельное расследования убийства главы фамилии, совершенное в канун Рождества, — увлекательна по содержанию и живописна в своей россыпи ярких эксцентричных непредсказуемых характеров героинь.

Спектакль Театра имени Моссовета дает свежий взгляд на популярный сюжет, знакомый многим зрителям по одноименному фильму Франсуа Озона.

«8 любящих женщин» моссоветовской сцены — это звездный состав, каскад перепадов настроений и зигзагов сюжета, блеск отточенных остроумных диалогов, а главное, парад великолепных актерских работ. Увлекательная интрига, эксцентричные, непредсказуемые поступки героинь держат зрителя в напряжении до самого неожиданного финала.

В состав исполнителей могут быть внесены изменения без дополнительного уведомления.","['Спектакль', 'Комедия']"
Чёрный Stand-up,в 6 местах,"Будет смешно! Выступают 4 комика с более чёрным материалом — вы сможете услышать более жёсткие и откровенные шутки.
Один из комиков — ведущий вечера.

Состав скрыт! Комики на афише — это отображение примерных составов из пула тех, кто тут выступает. Наши составы — это всегда профессиональные известные комики, участники: StandUp на ТНТ, Labelcom, StandUp Club #1 и др. популярных ТВ и YouTube проектов. На таких мероприятиях уже выступали: Гурам Амарян, Сергей Орлов, Артур Чапарян, Ирина Приходько, Андрей Атлас, Елена Новикова, Роман Косицын, Павел Дедищев, Расул Чабдаров, Богдан Лисевский, Ярослава Тринадцатко, Никита Дубровский, Вера Котельникова, Дима Гаврилов, Андрей Колмачевский и многие другие.

Размещение за столиками. Весь вечер можно заказывать еду и напитки. Рассадка осуществляется администратором по факту прихода. Если вы покупали билет на мероприятие со схемой зала, рассадка будет осуществляться строго по местам указанным в билетах. Если вы приобретали билет на мероприятие без схемы, то рассадка будет осуществляться исходя из категории вашего билета.

Если человек в сильном алкогольном опьянении, его могут не пустить.

Каждую неделю — разные составы.

Продолжительность мероприятия — 1,5–2 часа.

Импровизационное общение с залом. Розыгрыш бесплатных напитков.

*на площадках O’Donoghue’s и Tap & Barrel скидки на меню во время концертов не действуют
**на площадках Tap & Barrel и O’Donoghue’s девушкам, пришедшим в вечерних платьях, бокал игристого от заведения!

Почему скрыт состав. Мы гордимся тем, что каждую неделю вы доверяете нашим закрытым лайн-апам. Благодаря многолетнему опыту организации стендап-мероприятий, мы тщательно собираем составы на концерты. Список комиков держится в секрете не только для того, чтобы сделать вам приятный сюрприз на концерте: стендаперы «не светят» лишний раз лица на афишах, а гости, зачастую, получают возможность увидеть очень известных комиков не за космические деньги.

StandUp_Msk Это стендап-комьюнити комиков со всей России. У нас выступают участники всех популярных стендап-шоу на ТВ и YouTube. На вечер мы превращаем кафе, рестораны и бары по всей Москве в настоящие комедийные клубы. Каждый день Вы можете посещать стендап в новом заведении с необычной кухней.

Если хотите задать вопрос или уточнить не повторится ли кто-то из комиков при посещении наших мероприятий снова — звоните по номеру +7 (926) 851-85-89 или пишите сразу в телеграм @standupmoskvich

Мероприятие строго 18+","['Стендап', 'Шоу', 'Юмор']"
Человек из ресторана,Планета КВН,"Спектакль по русской классике — ранней повести Ивана Шмелёва. Она принесла автору огромное признание в России начала ХХ века.

В голодном революционном Крыму Шмелёв зашел в маленький ресторан в отчаянной надежде где-либо купить хлеб. Хозяин заведения случайно услышал фамилию посетителя и удивленно поинтересовался, не он ли автор книжки про жизнь официанта. Услышав утвердительный ответ, хозяин воскликнул: «Для вас хлеб есть!».

Авторы спектакля верят, что спустя 100 лет стойкая популярность вновь вернется к истории на «немодную» тему — что значит в России быть честным человеком. Как символ неумолимо равнодушного пространства сценография к финалу выталкивает главного героя на авансцену.

Огромные стены возвышаются за ним, подчеркивая ничтожность перед судьбой и делая очевидным человеческое величие.

В главной роли — Константин Райкин.

В состав исполнителей могут быть внесены изменения без дополнительного уведомления.","['Спектакль', 'Драма']"
Лаборатория цвета,Внутришоу,"«Лаборатория цвета» — иммерсивное шоу на стыке искусства, психологии и
технологий. Его можно посмотреть в новом Digital Art Центре «Внутришоу» на
территории арт-квартала «Хлебозавод №9». 500 кв. м проекций: контент на стенах и
полу.

Что если бы Ньютон, Кандинский, Иттен, Достоевский, Брэдбери создали
экспериментальные digital-комнаты? История из 14 уникальных проекционных сцен.
Необычные визуальные эксперименты.

Почему стоит прийти на шоу:
— Разобраться, как цвет влияет на нас на уровне физиологии, психологии и культурного кода. Достоверные научные факты.
— Поэкспериментировать и проверить, насколько вы чувствительны к манипуляциям мира. Что вы почувствуете в желтой комнате, а что в красной? Восхищающие и пугающие комнаты.
— Увидеть красивые визуальные концепты и вдохновиться. Когда цвет начинает звучать. Когда можно ходить по воде.
— Помедитировать. Позволить себе остановиться в потоке времени и узнать что- то новое о себе самом.
— Подумать о настоящем и заглянуть в будущее. Кто решает, какой цвет главный? Какого цвета наша эпоха? Что значит «цвета будущего»?

Шоу завершается интерактивной частью. Стены проекционного зала реагируют на
перемещения посетителей — движения тела и рук.

Продолжительность — 35 минут.

«Внутришоу» — новый арт-центр в Москве, который открылся на территории общественного пространства «Хлебозавод №9». Современное Digital искусство: выставки, шоу, музыкальные и театральные перформансы.","['Выставка', 'Инсталляция', 'Современное искусство', 'Психология']"
Без Есенина,в 2 местах,"По пьесе Влада Васюхина.

Ялта. Гостиница. В номере три человека — мировая знаменитость, танцовщица Айседора Дункан, ее приёмная дочь Ирма с мужем Ильей Шнейдером. Но незримо чувствуется присутствие четвертого, которого все ждут, о нем говорят, вспоминают, кто с любовью, а кто с любопытством или отвращением. Его видят в каждом мужчине за окном или в тенях, которые отбрасывает бокал с вином. Есенин. Он где-то есть, но его нет там, где он нужен — возле своей жены Айседоры в Ялте.

Величайшая танцовщица поколения, женщина, пережившая смерть своих детей, нырнула со свойственной себе страстью в отношения с молодым русским поэтом, а вынырнуть не смогла. Окружающие не понимали их отношений, те, кто любил Айседору, как ее приемная дочь, во всем обвиняли Есенина, круг почитателей поэта и его друзья, считали, что именно она виновата в том, что он пристрастился к алкоголю.

Режиссер Дмитрий Сердюк: «Основной идеей, камертоном спектакля я считаю такую фразу: «Самое страшное находиться в состоянии иллюзии и думать, что это состояние приведет тебя к желаемому и заветному». Мы все попадаем в этот поезд под названием Иллюзия, рассаживаемся по вагонам согласно купленным местам и этот поезд несется с огромной скоростью. В конечном счете мы прибываем на конечную станцию под названием реальность и сталкиваемся с ней лицом к лицу. В нашем случае для меня все персонажи спектакля и пьесы находятся в той или иной степени иллюзии, в иллюзии отношения к жизни».","['Спектакль', 'Драма']"
Шутники,Планета КВН,"Спектакль-парадокс по малоизвестной пьесе, в которую, тем не менее, уместился весь мир Островского. Главного персонажа — чиновника Оброшенова — играет Константин Райкин. Но в сюжет вошли титульные герои ещё четырёх русских знаковых пьес: «Грозы», «Бесприданницы», «Леса» и «Снегурочки».

Небогатый чиновник выдаёт дочь замуж. Денежные унижения ему легче вынести под маской шута. Дело идёт к свадьбе, но на сцене возникают разные модели любви: от счастливой до продажной, от безответной до трагической. История про любовь и деньги в красочном эпическом спектакле, имя которому — Островский.

В состав исполнителей могут быть внесены изменения без дополнительного уведомления.","['Спектакль', 'Комедия']"
Булгаковская Москва. Мистика и реальность.,булгаковская москва. мистика и реальность.,"Михаил Булгаков был мастером поэтизации пространства, и Москва в его произведениях становится полноценным действующим лицом. Самым живым персонажем выступает Москва 30-х годов в мистическом романе «Мастер и Маргарита». Мы предлагаем Вам перечитать роман, отправившись вместе с нами в незабываемое путешествие по следам Мастера и Маргариты!

В продолжение экскурсии предлагаем туристам отправиться в поход и посмотреть на те места, которые вдохновили Михаила Булгакова. Может быть, нам даже удастся встретить призрак чёрного кота из шайки Воланда или увидеть, как Маргарита вылетает из окна своей квартиры, отправляясь на шабаш. 

В ходе пешеходной экскурсии по Москве Михаила Булгакова мы:
узнаем историю Патриарших прудов, а также пройдёмся по аллее, где на одной из скамеек вели беседу с Воландом Михаил Берлиоз и Иван Бездомный, – присядем на неё и мы;
узнаем, каким причудливым и действительно мистическим образом пересеклись судьбы самых разных выдающихся людей – Михаила Булгакова, Максима Горького, Владимира Маяковского, Фёдора Шехтеля, Павела Рябушинского и Иосифа Сталина;

В продолжение пешеходной экскурсии по следам Мастера и Маргариты мы увидим:
один из самых красивейших домов в столице, особняк Зинаиды Морозовой – дом, где проживала Маргарита;
здание МАССОЛИТа, где работал Берлиоз и критики, не допустившие публикацию романа Мастера;
дом, в котором жил Михаил Булгаков и в котором находится та самая «нехорошая квартира»;
здание, в котором Булгаков разместил театр Варьете и его, похожий на инопланетную тарелку, купол, из–под которого летели те самые червонцы во время сеанса магии, и многое–многое другое!

В процессе прохождения экскурсионного маршрута по Москве М.А. Булгакова мы посетим:
одно из самых сколь романтичных, столь и мистических мест Москвы – Патриаршие пруды;
ставший уже легендарным подъезд, в котором жил Михаил Булгаков;
переулок, в котором познакомились герои нашего любимого романа – Мастер и Маргарита.

А что же Воланд и его свита? Неужели о ней забыли? Ну что Вы, как же можно! На экскурсии нас ждёт увлекательное испытание – попробуем вместе представить, как Иванушка Бездомный пытался поймать «иностранного консультанта» и его помощников!

Каждый сам для себя решит, пройдя вместе с нашим профессиональным экскурсоводом по Булгаковским местам в Москве, выдумал ли великий писатель свою историю или просто описал то, что было на самом деле!

Что не включено: 
• Посещение Музея-театр «Булгаковский дом» (возможно по желанию большинства в группе за дополнительную плату).
• Встреча в отеле и доставка обратно в отель.

Важная информация: Регистрация на экскурсию заканчивается заранее. Приходите на место встречи минимум за 20 минут до начала экскурсии!

Что включено: Услуги гида

Что не включено: Посещение Музея-театр «Булгаковский дом» (возможно по желанию большинства в группе за дополнительную плату), Личные расходы

Место встречи: ст. м. Маяковская, ступеньки театра сатиры","['Экскурсия', 'Групповые', 'Пешеходные']"
Ночь в отеле,Современник,"Представьте, что в 1954 году в номере нью-йоркского отеля совершенно случайно встретились всемирно известные актриса, спортсмен, сенатор и ученый. Прототипы этих персонажей узнаются сразу, хотя и не называются автором. Всю пьесу нам придется стоять на пороге доверия к происходящему. Вероятность этой встречи стремится к нулю, однако для нее были причины и о ней ходят слухи. Если бы встреча состоялась, о чем говорили бы эти люди, владевшие воображением, умами и жизнями миллионов? Ведь у каждого из них есть своя, разворачивающаяся на фоне их глобальной славы и влияния, история. Она кажется незначительной, но все на свете относительно…","['Спектакль', 'Драма']"
Иисус Христос — суперзвезда,Театр им. Моссовета,"Постановка этого ставшего уже мировой музыкальной классикой произведения на сцене русского драматического театра интересна своеобразным сочетанием жанра рок-оперы и традиций русской театральной школы. Речь идет о свободном творческом переводе либретто на русский язык, о развитии его драматургических линий, о пьесе «по мотивам».

Это потребовало и новой музыкальной редакции, в которой, однако, мелодика, авторские лейтмотивы бережно сохранены.","['Мюзикл', 'Опера', 'Рок']"
Оркестр мечты. Медь,Театр им. Ермоловой,"На сцене — Олег Меньшиков и его духовой оркестр, рассказывающий грустные и смешные истории, оркестр поющий, танцующий, солирующий и аккомпанирующий. Любой номер программы — это театральная миниатюра, которую воплощает группа «актеров» с инструментами.

Виртуозно работая в синтезе различных жанров, 30 артистов соединяют слово, музыку, танец, костюмы и многое другое и наполняют своей невероятной энергией и мощным звучанием духовых инструментов зрительный зал и все пространство вокруг, подчеркивая настроение каждой исполняемой пьесы.

В состав исполнителей могут быть внесены изменения без дополнительного уведомления.","['Спектакль', 'Драма']"
Гроза,Дворец на Яузе,"Трагический балаган о свободе и убийственности несвободы. Парадокс — что подлинная большая любовь, настоящее чувство непременно вступает в жестокий конфликт с массовым общественным каноном. Так было и с Ромео и Джульеттой у Шекспира, с Анной Карениной у Толстого. Таков рок: кто по живому, сильно чувствует, должен погибнуть.

Почему цельную натуру Катерины Островского сметает вихрь агрессивности уклада, почему делает её «не своей», превращает в мученическую жертву? Не это ли самое происходит и с талантом, с любым художником, сила чувств и идей которого откровеннее и пронзительнее рамок дидактики, темноты в мозгах, закостеневшего общепринятого шаблона. Какой выход?

С одним антрактом.

В составе исполнителей возможны изменения без дополнительного уведомления.","['Спектакль', 'Драма']"
Зинон. С приветом!,в 3 местах,"К профессору философии часто приходит мистический призрак, который является плодом его фантазии, но для него он стал духовным наставником, другом, братом, помощником... Стоит ли избавляться от этой галлюцинации? Быть может, это голос разума, позволяющий задуматься, а живём ли мы так, как хотим? Возможно, стоит к нему прислушаться и переломить ситуацию, чтобы наслаждаться счастливой жизнью?

В состав исполнителей могут быть внесены изменения без дополнительного уведомления.","['Спектакль', 'Комедия']"
Секс в СССР: Интимные тайны столицы,Станция метро «Сухаревская»,"Помните, как весь мир узнал, что «в СССР секса нет»? Выражение стало крылатым и породило не мало шуток. Но ведь, если задуматься, в советский период секса действительно не было: был «интим», «половые отношения», иногда случались «половые практики», но детей на протяжении 70 лет все равно находили в капусте или в клюве у пролетавшего мимо аиста.

Мы приглашаем вас в увлекательное, деликатное, чувственное путешествие в интимные истории Москвы от раскрепощенности 20-хх до советского аскетизма более позднего периода.

Поверьте, нам есть чем вас удивить! На нашей экскурсии вы узнаете:
Как сексуальная революция 20-хх годов в мгновение разрушила все брачные устои, даровала женщинам свободу и вместе с тем передала ее «во всеобщее пользование».
В красках расскажем об экспериментах и концепции «свободной любви», жизни в коммунах и домах свиданий.
Как очень быстро сексуальная революция сменилась затяжным периодом аскетизма, а настольной книгой нового советского человека внезапно стали «12 половых заповедей пролетариата».
Поговорим о деэротизации 30-хх годов и как советскому государству удалось усмирить пыл сексуально освобожденной советской молодежи.
Как в период оттепели 50-хх советские женщины узнали, что нижнее белье бывает и без начеса.
К чему привели 70 лет советского аскетизма.
А еще поговорим об интимном: где знакомились, как флиртовали, что дарили и куда приглашали на свидание, о моде, юбках, чулках и роддоме.

Наш рассказ будет дополняться архивными материалами и уникальными фото. Ну а в конце экскурсии попробуем все таки ответить на коварный вопрос — был ли секс в СССР?

Внимание: Мы просим оставить дома любую цензуру и несовершеннолетних детей. Берите с собой друзей, хорошее настроение и отправляйтесь с нами на исследование интимных тайн московских улиц.

Экскурсия проходит в мини-группе до 20 человек с использованием радиогидов. Просим обратить особое внимание: наша экскурсия строго 18+, не допускается присутствие на экскурсии детей младше 18 лет.

Место встречи: м. Сухаревская, выход номер 2, сразу на выходе из метро вас встретит гид с табличкой Любимый город. Телефон администратора: +7 (903) 207-61-21.","['Экскурсия', 'На воздухе', 'История', 'Пешеходные']"
Каток «Лёд» в парке Сокольники,Сокольники,"Искусственный каток «Лёд» выполнен по канадским технологиям и позволяет кататься даже при плюсовой температуре. Каток оснащён по последнему слову техники. Комплекс катка состоит из силовой плиты, генерирующей ледовое покрытие и обслуживающего его сооружения — компрессорного цеха.

Каток работает по сеансам:
Пн—вс:
1 сеанс — 10:00–12:00;
2 сеанс — 13:00–16:00;
3 сеанс — 17:00–20:00;
4 сеанс — 21:00–23:00.

Четверг — сеанс скоростного катания:
21:00–23:00.

Технические перерывы: 12:00–13:00, 16:00–17:00, 19:00–20:00.

Расположен на Фестивальной площади ПКиО «Сокольники». Построен в 2012 г. Площадь катка составляет 5 300 кв.м.

На территории катка работают пункты проката спортивного инвентаря, гардеробные, пункты питания, пункт первой медицинской помощи.

Каток освещён и огорожен бортами с оригинальной переливающейся подсветкой и оснащён современной звуковой системой, обеспечивающей музыкальное и информационное оформление катка; системой контроля доступа и автоматизированной кассовой и прокатной системами. Музыкальное сопровождение: Радиостанции «Максимум» (80%) и «Мосартист» (20%).

Бесплатно для детей до 7 лет. Сопровождение детей является обязательным и оплачивается согласно выбранного тарифа. Также предусмотрены бесплатные сеансы для детей-сирот, детей с инвалидностью I, II и III групп, ветеранов ВОВ, пенсионеров, многодетных семей. Билеты действительны при предъявлении оригинала документа, подтверждающего льготу.","['Каток', 'На воздухе', 'Детям']"
Осенний роман,Дворец на Яузе,"6 рассказов о любви.

Рассказанные с полной искренностью и откровенностью, эти истории одновременно оставляют чувство радости и грусти, восторга и сожаления, трогают самые сокровенные уголки души — ведь «у каждого из нас найдётся какое-нибудь особенно дорогое любовное воспоминание или какой-нибудь особенно тяжкий любовный грех».

Театральное произведение в котором изображены различные грани любви — от роковой и трагической до страстной и всепрощающей. Эти глубокие и искренние истории затрагивают самое сердце, вызывая смешанные чувства радости, грусти и восторга.

Спектакль идёт с одним антрактом.

В составе исполнителей возможны изменения без дополнительного уведомления.","['Спектакль', 'Драма']"
